title,author_type,content,rating,pros,cons
"Good job security, low pay","QUALITY ASSURANCE ENGINEER (Former Employee) - San Diego, CA - May 30, 2014","Great place to work at for entry level. Job security is good and so is the culture. Compensation is tens of thousands of dollars below market level. Promotion is reserved for manager buddies, don't expect to get prompted based on your work performance.",3,Job secuirty,Non-existent promotions and pay way below market level
Excellent company for the freshers as the transformation process is easier compared to other companies.,"Senior Software Engineer (Former Employee) - Bangalore - May 24, 2014",It was great working with people at SONY as i got an opportunity to deal with many seniors and at the same time to guide my juniors. It was a great learning curve and the management backed the freshers and set a good culture and environment for us to work.,4,"",""
Fun workplace,"Software Engineer (Current Employee) - Bangalore, KA - May 20, 2014",we work on a day to day basis. Its challenging to take up all the requirements and work on it.,5,Free cab service for ladies after 8pm,""
"Fast evolving technology company, Consumer and Quality oriented","Senior Product Manager (Current Employee) - Brussels, BRU - May 1, 2014","Company that gives you opportunity to grow, to learn and to challenge yourselves. Great team spirit. I could develop leadership skills with International Team Management, challenging Business targets.",5,"",""
Productive and fun place with smart people,"Software Engineering Manager (Former Employee) - Madison, WI - April 27, 2014","Sony Creative Software inspires artistic expression with its award-winning line of products for digital video, music, DVD, and audio production. Sound Forge, ACID, and Vegas software have defined digital content creation for a generation of creative professionals, amateurs, and enthusiast.",4,"",""
Na,"Technical Team Lead (Former Employee) - New Delhi, DL - March 28, 2014",Worked with Sony India at there Head Office for VAIO Technical Support as a Technical Team Lead.,3,"",""
"Offering around 7 years of sterling experience in Middleware design, development, and deployment of Secure technical and Enterprise application soluti","WebSphere Administrator (Current Employee) - Singapore, S00 - March 23, 2014","Offering around 7 years of sterling experience in Middleware design, development, and deployment of Secure technical and Enterprise application solutions",4,"",""
service center,"assistant engineer (Former Employee) - Trichur, KL - March 6, 2014",managed a group of technicians and assisted the main engineer .,4,"",""
"It is like a school, there are always things to learn and experience.","Product Manager / Webmaster (Former Employee) - Middle-Eastern market - January 7, 2014","If you work hard, there is always an opportunity to get promoted, basically good job is noticed and considered.",5,"",""
Very Organized when is called for,"Supervisor/Customer Care/ Tech Support (Former Employee) - Las Vegas - December 23, 2013",I thank the company for my employment and i have nothing negative to say about the work place.,1,"",""
Fun workplace with gaming consoles,"Playstation Tech Support (Current Employee) - Las Vegas, NV - November 26, 2013",I help people troublshoot their Playstations and send them in for service as needed,1,cool company,"short breaks, no healthcare, constantly changing schedule"
"Good place to work, nice people","Software Development Engineer (Former Employee) - Madison, WI - October 7, 2013",Enjoyable workplace. Nice people. Offices are very nice. Sony benefits are very good.,4,"Good benefits, good salary",Sony culture is somewhat static
Challenging career,"Product Manager (Former Employee) - Park Ridge, NJ - September 30, 2013","Sony was a great place to work, always challenging and always rewarding. There was always a way to participate and make a difference. Management was frequently inspirational and professionalism was always top notch. The hardest part of the job was just the amount of it, it was frequently very difficult to get everything done. The most enjoyable part of the job was seeing new products arrive. Sony was beyond just a job. The products and employees were a culture unto themselves. It was a great place to work.",4,Job flexibility. Very interesting products.,"24/7 work week, every week, every month, all the time."
Prodcutive and fun working place,"Sr. Japanese Bilingual QA Engineer (Current Employee) - JPC - September 23, 2013",Amazing work place to implore endless opportunists. More fun for new comers. lot's and lot's of onsite visits.,5,Big Brand,For some it may be hectic
Very Informative place to work and funplace too.,"Software Engineer (Current Employee) - Bangalore, KA - September 8, 2013",Lot of domain knowledge can be acquired as they provide special knowledge transfers for that. Helpful colleagues around. Learnt the business flow too apart the software lifecycle. Hardest part of the job is to meet the deadlines. Enjoyable part is to try new things and implementing them which ia alao a challenge.,3,work culture,salary
Fun workplace,"TECHNICAL SUPPORT SPECIALISTS (Former Employee) - Philippines - September 5, 2013",Assigned to camera section. How to handle people. The best management ever experienced. Good camaraderie. Turn around time to finished the units. To be with my friends inside the work placed.,4,"",""
testing viedo games,"Games Tester (Former Employee) - San Diego, CA - August 14, 2013",the best job ive ever had got to work as many hours as you wanted and got to fix viedo games as the productions make the game couldent ask for a better way to work,5,"",""
Productive and fun with ping pong table,"Sr. Staff Embedded Firmware Engineer (Former Employee) - San Diego, CA - April 19, 2013",Sony has a long history of engineering excellence and great products. There are ample opportunities to expand your skills just as long as you want to work hard. It is a multicultural environment.,3,"great cafeteria, fitness club, roof top basketball/soccer field",large company
"Excellent high-end electronics, both consumer & commercial.","Sr. Solutions System Architect (Current Employee) - Alpharetta, GA - April 18, 2013","Great brand: excellent electronic products, R&D and service organization. Times are hard, but I believe that Sony will weather the storm. Organizational changes will hopefully yield a company much leaner & more fit for global competition.",4,"",""
Lots to learn and fun to work,"Senior Integration Engineer (Current Employee) - San Diego, CA - January 29, 2013","Work in Sony is always amazing. The day to day life as a Software est engineer is to develop automation tools which would be useful better internal process, to assist the testing team to complete the work quick and efficiently.The environment provides exposure to learn and improve ur skill set which helps in personal growth individually and in-turn the company",3,great work life balance,healthcare and benifits are low
Opportunities for young talented software engineers,"Technical Program Manager (Current Employee) - Tokyo - October 17, 2012",lots of growth and opportunities for young and talented software engineers.,3,"",""
Great company facing many competitive issues,"SENIOR SYSTEMS & SOLUTIONS ARCHITECT (Current Employee) - San Jose, CA - October 5, 2012",Sony is a very good employer but the company is facing many competitive challenges and needs to become much more agile and flexible. Its management structures and cultures make change difficult.,3,great benefits,slow decision making processes
good,"Senior Software Engineer (Former Employee) - Senior Software Engineer - September 6, 2012","good, work life balance, cutting edge technologies, events",3,"",""
good work environment and enjoy working,"Sr. QA Engineer (Current Employee) - San Jose, CA - September 5, 2012",a typical day at workwhat you learnedmanagementyour co-workersthe hardest part of the job,4,"",""
Productive and very good learning experience,"senior software engineer (Current Employee) - banaglore - June 20, 2012",- friendly environment- learned technical skills- improved my communication skills- learned leadership skills,4,"",""
Built my foundation for everything I know,"Software Quality Assurance Project Test Engineer (Former Employee) - San Jose, CA - June 19, 2012","Great company that helped me build my foundation in QA, colleague dynamics, and always wanting to better myself.",5,"",""
game tester,"games tester (Former Employee) - liverpool - May 1, 2012",i love working for sony pay was good the time was good i wist a bit longer working for sony,5,87000,7 pm tell 12 am
Good company - good people,"Sr Unix Systems Engineer (Current Employee) - San Diego, CA - March 11, 2012","This is a good company but currently is challenging to the work/life balance. It has really good benefits, very good individual contributors,good technology.",4,"cool technology, good compensation",long work hours
