title,author_type,content,rating,pros,cons
Friendly people,"Community Rep (Former Employee) - Morrisville, NC - October 3, 2018",Typical work day consist of sitting in front of a monitor engaging with players on social media sites that you were given access to. The hardest part is dealing with consistent boredom. No real growth within the company unless someone relocates to another state or country. Job is nice if you are going to school or have roommates to be able ease the burden of bills. Low pay to sit and talk to people on social media sites. If you're looking to pursue this job and grow be prepared to stay in your position for two years for a slight pay increase.,2,"Rarely provides free lunches, Can keep to yourself and work without being bothered","No paid sick or vacation days, No room for growth, Low pay"
Very good working environment.,"Senior QA Tester (Current Employee) - Pune, Maharashtra - September 19, 2018",In Ubisoft entertainment private limited working environment is very good. Empkoyees are appreciated with the quartly/star awards. We also celebrate aur project launches.,5,"",""
Very nice workplace.,"Spanish Localization Specialist (Current Employee) - Bucharest - September 11, 2018","They were really nice and helpful to me. I learnt what to do very quickly and I enjoyed working. The hardest part was that sometimes they provided us the materials very late and the games were at a too advanced stage to change anything, so our testing was not always useful, because our corrections were not accepted.",4,"",""
One of the best gaming studio in this planet with a very creative work environment,"Junior Game Tester (Former Employee) - Pune, Maharashtra - August 26, 2018",Very friendly work environment with lots of opportunities to learn about every kind of gaming platforms and genres of games. The work timings are great to give the best balance to professional and personal life.,4,"Free Breakfast, Working hours",Managment
productive and fun work place,"game tester (Former Employee) - Montréal-Est, QC - August 21, 2018",great atmosphere. All the people that work there are nice and work hard. great environment. the location is quite ideal with food and entertainment being in a very lively neighborhood. the short time being there left me with good times.,5,"free lunchers, snacks",N/a
Friendly Enviroment,"Game Tester (Current Employee) - Pune, Maharashtra - August 2, 2018",Friendly environment but financial growth is too slow. Hence if you are looking for a stable future with Ubisoft you cannot grow much financially. Most of the employee leaves this company after 2 years.,3,"",""
Fun workplace with little advancement opportunity,"TEAM LEAD / FLOOR MANAGER (Former Employee) - Raleigh, NC - July 24, 2018","If you are looking for a fun atmosphere and care nothing about your advancement this is the place for you. Consistently one of the lowest paid technical positions in the area. Very Cliquey, and they will not hesitate to fire you in order to have a scape goat for any problems that arise not even related to your responsibilities.",2,"Fun atmosphere, the people are great (below management)","Low pay, frequently changing requirements as management changes often, scape goat mentality"
na,"Technical Support Specialist (Former Employee) - Morrisville, NC - July 17, 2018","- make sure to be on time and ready to work, pretty strict on attendance policy - learn lots of technical support for pc and console - very casual dress code - very helpful to know about video games",5,"",""
Tiring,"Janitor (Former Employee) - San Francisco, CA - July 14, 2018","This job paid good to me and the hours were long and stressful because everything had to be perfect for these workers and when they had to let me go they didn’t want to because I did such a good job, overall I liked the money but worked hard for it.",3,Free food/sodas,No paid time off
Dream experience.,"Front Desk Receptionist (Temp) (Former Employee) - San Francisco, CA - June 21, 2018",I love video games so working here was a dream. I enjoy the serenity of the environment and the workers where very kind and respectful of my position.,5,"",""
Over Worked and Underpaid,"Customer Service Representative (Former Employee) - Raleigh, NC - June 15, 2018","Ubisoft's products are amazing and I have been a fan of their game for a long time. That will not change for me. As for Ubisoft as a company I would work for, its pretty bad. Work conditions are catered to quantity and not quality. If you get hired on the ground level there is a good chance you are working through a temp agency. They offer really low wages for the area, which is odd because EPIC Games is right down the street offers almost 4 dollars an hour more for the same jobs.",2,"Awesome looking environment, Free games","Poor Wages, Lack of real leadership, Unstable Career Path, unrealistic metrics."
Worst Company,"Consumer Support Advisor (Former Employee) - Newcastle upon Tyne, Tyne and Wear - May 20, 2018","Great on the outside, horrific management, huge amount of office politics and is massively understaffed. Avoid where possible even if you like games. Very stressful. Hopefully will relocate after brexit.",1,"",""
Great place to work. Lots of room for innovation,"Games Intelligence Analyst (Former Employee) - Montréal, QC - May 12, 2018",Positive environment with room to grow. You will be given the chance to innovate and creator. Be ready to work hard to prove yourself and your efforts will be rewarded.,5,"",""
"Innovative, Competitive, Leader","Senior Manager, Marketing Strategy (Former Employee) - San Francisco, CA - May 1, 2018","Top-tier video games company with steady and thoughtful management. Very low turn over. And constantly driving to connect with gamers. Highly strategic, smart, and driven.",5,"Strategic, long range planning and implementation",No Cons
work,"Senior Support Representative (Former Employee) - Morrisville, NC - April 23, 2018","- make sure to be on time and ready to work, pretty strict on attendance policy - learn lots of technical support for pc and console - very casual dress code - very helpful to know about video games",3,free PC games and discount console games,"short breaks, low pay, strict attendance policy, etc."
A dream!,"Game Tester - Quality Assurance (Former Employee) - Ilfov - April 3, 2018","Ubisoft for me was a dream. I have made allot of friends, we where like a family. I loved working at this job not just by testing video games it's more then that, games unites people that love doing what they do!",4,"",""
Warm environments and flat management.,"Artist (Former Employee) - 上海市 - March 9, 2018","It was a great international company. People of there were really talented and good to be with. You can meet the most genius people in the game industry all over the world, and the company's culture was very comfortable for everyone.",5,Always have great activities and 7-24 free snacks & fruits supply.,""
Clichy Atmosphere,"Customer Support Representative (Former Employee) - Morrisville, NC - February 22, 2018","I worked there for around 8 months all together. Enjoyed the people I worked with, but if you are not permanent, then it is not a great place to really work. The most enjoyable part of the work is working with video games, and the relaxed dress code. The hardest part of working there is that they want the best quality of work and productivity, but will rarely allow of you to prove yourself. Also, if you are not in the inner circle of higher ups working there, then forget about maybe working there permanently. It is a very ( who you know ) career advancement. Also, it is easy to feel that you are treated differently then permanent co-workers, leading to a stifled, and uncomfortable work place.",3,"Video Games, Employee Discounts","Little to no job advancement, Contact"
Ok,"Accounts Payable Specialist (Former Employee) - San Francisco, CA - February 9, 2018",OKAY COMPANY TO WORK But no chances to get hired here at all. Good Manager. Work balance but can't expect too much from this company. Good people and Good place to get experiences,3,"",""
Care more about the bottom line than you.,"Technical Support Representative (Former Employee) - Morrisville, NC - January 25, 2018",Pros: Relaxed work enviroment Made good friends Cons: Management will not listen to their employees. Will pay you well below the area average for that job. Not do review on a regular schedule. Keep you at a contract position while asking you to do full time employee's work. No room for career growth. Care more about the time on the phone then helping the customer.,2,"",""
Great if you don't have kids and don't mind long hours,"CG SUPERVISOR (Former Employee) - Montréal, QC - January 4, 2018",Ubisoft is a good place to work if you are a hardcore gamer with no family responsibilities or commitments. Lots of crunch time as projects were frequently late with more and more people thrown at them.,4,"",""
Good and stable,"Audio designer (Current Employee) - Montréal, QC - November 23, 2017",Good place to work. Very good job security. Good general vibe. It's video games so crunch time is often taken for granted. But you can make your way through and evolve a lot,5,"",""
Lack of advancement opportunities,"Customer Support Representative (Former Employee) - NC - November 14, 2017","To start working at Ubisoft through their customer support, you have to start off as a temp employee. This can mean you work 4 months at a time on at least 3 different occasions before you ever get the opportunity to get full time employment. Some employees will work as temps for a year or two straight, at a time with no full time offer. While working as a temp employee, the benefits are bad (high health insurance costs, low pay, minimal gaming benefits, no company incentives/rewards like free gear or invitation to holiday parties which full time employees take advantage of) and you are treated very unfairly compared to the full time regular employees. The management is rude and doesn't know how to respectfully and professionally communicate with their employees. When asking for assistance with a case one manager will advise me to proceed in one way; a day later I will get a rude email from another manager telling me what I did was wrong. Ubisoft is not about the player or the employee, but only about itself. Don't ever work for this company!",1,Management,""
Lovely Workplace,"Score Designer (Former Employee) - Pune, Maharashtra - November 2, 2017",This company has improved me a lot personally and professionally as well. I built up my confidence in everything here Lovely/Fun Work Environment Got a chance to work with big and reputed Ubisoft gaming studios in the world and with the people as well,4,"",""
Fast-Paced and Eye-Opening,"WW Digital Asset Specialist (Current Employee) - San Francisco, CA - October 17, 2017","I love working at Ubisoft. Watching games being developed and sold on an international scale was extremely eye-opening for me. There's opportunity to work with individuals all across the world, who share the same passion for delivering quality work (and having fun in the meantime)!",5,Fun/Playful culture; cool products,Lack of employee benefits
awesome environment,"Trainee Game Tester (Current Employee) - Pune, Maharashtra - October 4, 2017",Ubisoft is a heaven where people dont work for money they work for enjoying their work. People are surrounded with golden heart managers all around in ubisoft,4,overtime benefits,nothing
Friendly and Casual,"Associate Lead Project Management (Current Employee) - Pune,India - September 27, 2017","Its been an average 6.5 years for me at Ubisoft. The learning and development curve has been progressing on a very slow pace. Even though the work environment has been amazing. When it comes to career growth financially and knowledge wise, the result are less then satisfactory.Considering, after so many years invested in Ubisoft.",3,Casual environment.,"Low Salary, Less options for growth in the job family."
Really nice place to work at,"Business Developer (Former Employee) - Paris (75) - September 21, 2017","Pros: -young colleagues and fun atmosphere -challenging tasks, it's quite difficult to get bored Cons: -long hours, work/life balance may be affected -salary and benefits could be better",4,"",""
"Fast pace, fun brands","Senior Designer (Current Employee) - San Francisco, CA - September 9, 2017","Working for Ubisoft has been a fun experience so far. It’s a fast paced, no nonsense working environment, and the lines of responsibility are clearly drawn, which I appreciate. They have a tight team of project managers and a solid production team, which allows me to focus on creative. They also support a good work-life balance, which is a breath of fresh air.",4,Opportunity to work on exciting and high profile brands,""
Fantastic!!,"TEXTURE ARTIST (Former Employee) - Montréal, QC - August 1, 2017",Absolutely amazing place to work. Great people. Excellent perks. Fantastic salary and room for advancement. Autonomy and teamwork. Interesting city and culture. Awesome work environment and office space(s).,5,"",""
Below industry standard levels of pay,"Player Support Specialist (Former Employee) - Morrisville, NC - July 10, 2017",Pros: Great company culture; you'll work with some amazing people! Fairly lax workday; you won't go home feeling exhausted Solid toolsets; lots of things to help make the job easier Cons: Trash pay; less than half of what you can make elsewhere No clear paths to advancement Political environment,3,"",""
Good for starting a career,"Senior Engineer (Former Employee) - Pune - July 6, 2017",Good to start your career after college. Management is not at all bothered about your growth. You have to struggle a lot to get into next level. Work life balance is Good.,4,"",""
summary,"Floor Manager (Former Employee) - Morrisville, NC - June 7, 2017","Job was alright and worked out for the time I was employed. Typical call center, nothing huge like most people would expect. Some good people some bad people",3,"",""
Work atmosphere is very friendly and amazing. The most enjoyable part of the job is you have access to all latest games.,"Playtest Coordinator (Former Employee) - Pune, Maharashtra - June 5, 2017","Overall amazing company to work with. A typical day at Ubisoft is usually amazing and we don't even know how the day passes. Work timing is flexible and friendly environment. management is friendly and helpful. The hardest part of job is salary, which is very low compared to other companies.",5,"Amazing work atmosphere, Friendly leads and managers, Work-life Balance, Freedom to show your creativity",Salary
HR not good,"Quality Engineer (Current Employee) - Pune, Maharashtra - May 31, 2017",No opportunities for development. Employ cant move from QE to development even though he has potential. Suffered a lot due to this. HR community is not responsive. Only intern HR work hard.,1,"",""
Fast paced and creative,"Manager (Former Employee) - Montréal, QC - May 29, 2017",Fast paced and creative company. Highly political and competitive. A lot of opportunities to grow based on talent and networking. French company so french management and politics. Busy upcoming year with Vivendi.,4,"",""
good working environment and opportunity,"Graphic Artist (Former Employee) - Pune, Maharashtra - May 16, 2017",working with Ubisoft grate experience i have learn so many things. team members support each others and build up knowledge also The work culture is pretty good where there is a balance between work and life and fun loving environment,3,Free Breakfast and flexible office time,"Contract job, Low annual salary"
A very fun working place with great and friendly atmosphere,"CRC Agent (Former Employee) - Newcastle upon Tyne - May 11, 2017","A very good company that provides training and knowledge, before you will be given the position. The atmosphere in the company is very friendly and people there are very helpful.",5,"",""
Fun place with lot of employee engagement programmes,"Director - HR (Former Employee) - Pune, Maharashtra - May 4, 2017",Ubisoft surely knows how to keep employees happy. Across the globe company has lot of employee engagement initiatives. There are interesting R & R programmes. If you are key performer for sure company will take care of you be it international mobility or challenging projects. Highly growing organisation with lots of young energetic people around,5,"",""
Productive and fun workplace,"Support Representative (Former Employee) - Morrisville, NC - April 30, 2017","The workplace was a lot of fun to work in, however they do expect their associates to work hard. I appreciate companies like Ubisoft who emphasize hard work, but also know that the best work environment is one in which workers can feel comfortable.",5,"Great coworkers, awesome work environment, emphasize hard work","During crunch time they tend to hire just anyone they can find, not really paying attention to the strengths and weaknesses of the people they hire"
Awesome work environment,"Customer Support (Former Employee) - Morrisville, NC - April 24, 2017",I was customer support at Ubisoft for a couple of months for a temporary position. The management and other employees are extremely relaxed and great to work with.,5,Relaxed environment.,""
Great environment,"Front Desk Receptionist (Former Employee) - San Francisco, CA - April 21, 2017",My job duties were pretty simple. It never got too overwhelming and if it did I took the right steps to handle it. Most enjoyable part was I was able to get my work done everytime.,4,"",""
Balanced,"Intern Developer (Former Employee) - Pune, Maharashtra - April 19, 2017","It was good, and well balanced to my knowledge. the working environment is good, but the top management sucks a lot, really a lot, they don't want doers, they need talkers",4,"",""
Law wages / Easy work,"Technical Support (Current Employee) - Morrisville, NC - March 30, 2017",Not what you would expect from a multibillion dollar company. The company has little room for growth especially in a foreign language position which is what I am doing.,2,"",""
Fun workplace,"Tester (Current Employee) - Pune, Maharashtra - March 29, 2017","Nice for startup, good company for freshers, good care of employees , chill environment to work in with hardly any work pressure, leads are friendly and helpful.",4,Work enviroment,Salary
Nice place to work and have fun,"Computer programmer (Former Employee) - Bucharest, RO - March 20, 2017",I never thought that working in the gaming industry can be so fun! I loved working for them as they are people oriented and the culture is great. If only the compensation package was inline with the competition...,5,"Culture, games","Compensation package, sometime slow advancement"
N/a,"Tier 1 Support Representative (Current Employee) - Morrisville, NC - March 19, 2017","The hardest part of working for Ubisoft is not knowing if your job is stable. It is an amazing place to work, but many people are hired on only for a short time.",4,"",""
Fun place to be,"Tester (Former Employee) - Cary, NC - March 14, 2017","The company was great. The outside of the building was nice. The first floor was mainly for the conference rooms, but also had chairs and couches for people to sit. There were elevators to take you to the second floor, where the offices were. There is a restaurant next to the building where we could walk too, and buy lunch. Overall, a great experience.",5,"",""
enjoyable,"Games Tester (Former Employee) - Home Based - February 19, 2017","it was a fun experience testing out games before they were realised, not what most people expect as its not all fun and games there's a lot of paperwork involved",4,playing games,too much paperwork
nice but not perfect,"QA Tester (Former Employee) - Chendgu - January 9, 2017","Good teams but bad communication, this was my worst experience in game industry. It was a good place to gain experience but not good to stay long as your whole career.",4,"",""
Fun workplace,"Italian Lead Agent Customer Relationship (Current Employee) - Newcastle upon Tyne - November 25, 2016",Ubisoft is the 2nd videogames brand in the world. Is a big company with more then 6000 employees. Our office locate in Newcastle is the Customer Relationship Center.,4,"party, games discounts, customer satisfaction",Life Balance and salary
Productive and very friendly culture,"Junior Game Tester (Current Employee) - Pune, Maharashtra - November 4, 2016","From your leads to colleagues, everyone is out there to help and learn together, A very understanding and fun to work culture.",4,"Good employees, Free breakfast, Amazing projects ;)",Less salary
Overall good place to work. They do take care of employees,"Team Lead and Product Manager (Current Employee) - Montréal, QC - September 6, 2016","Ubisoft is a good company. They take care of people and provide lots of opportunites to take on challenges, but there's way too much unproductive politics and pay is under industry average.",4,"",""
Excellent Work environment,"Game Tester (Current Employee) - Pune, Maharashtra - August 17, 2016",> learn something new everyday because of the information which is shared between everyone > co workers are more of friends than workers,3,technical environment,poor Hr
Best job,"Quality Assurance Analyst (Former Employee) - Pune, Maharashtra - May 27, 2016",best job for anyone who is a fresh graduate and want to learn about the industry staff were very kind and sweet no issues. loved my job.,5,"",""
Awesome environment,"IT specialist (Former Employee) - Montréal, QC - May 1, 2016","I was there for an internship in their IT department, and it was absolutely awesome. The work environment is just beyond comparison.",5,Work environment,Pay below average
Good Place to Work with nice People around you.,"Customer Service (Former Employee) - Newcastle upon Tyne - March 19, 2016",The daily Job was interesting and also nice because you worked with nice co-workers. I got the chance to meet a lot of people from different areas around the world and it was pretty funny to meet so many different cultures in 1 area. The only Problem was that you will get Information rather late then on time to provide perfect Customer Service.,4,"Game related Job, Nice people around you, cool Events","if you are 1 minute you will get in trouble, overtime will not get payed"
my heaven,"Linguistic Tester and QA Tester (Former Employee) - Montréal, QC - March 9, 2016",this job was amazing not long but ıt was heaven ubısoft is all gamers wants to work so ı learned fırst disipline ruby qa standart console games,5,"",""
Dynamic working environment,"Lead (Current Employee) - Raleigh, NC - February 8, 2016","Great environment that inspires creativity and appreciates innovative employees. Great co-workers, lots of interesting people Interested in developing useful skills in existing employees",4,Great work-life balance,Poor career advancement options
Love working at Ubisoft,"Producer (Current Employee) - Annecy, France - January 12, 2016",Ubisoft Annecy is a great place to work. The city is charming and being in the French Alps is amazing for outdoor activities. The studio is friendly and open.,4,"",""
"Fun, creative","Manager, Creative Project Management (Former Employee) - San Francisco, CA - December 13, 2015","Great culture, creative, driven teams. Visionary ideas, fast-paced. Fun location in SF. High expectations to perform above and beyond.",3,"",""
Great place to work,"Texture artist / Modeler / Level Art (Current Employee) - Montréal, QC - October 14, 2015","Ubisoft is a great company, with a good work environment and culture. The draw backs are management and pay. If you can get past those cons, it is a great place to work, and is a secure company to work for.",4,Secure Company,"Management, and pay structure."
Producer power.,"Artist (Former Employee) - Montréal, QC - October 11, 2015","The company has few big Game IP titles. It sound very good when you have the chance associate ( work relate ) with those titles. but it would be hard to get to work on those big good name big bonus tile, if you not have any "" friend connection"" referral.",3,Got a lot talent peoples with right tools,Too much politics and easily drian your energy.
College job,"Notetracker (Former Employee) - San Francisco, CA - September 15, 2015","Worked with a few friends, learned to open and close a store by myself, got a lot of grease burns, wouldn't trade them for the world",5,"",""
Creative and fun environment to work in.,"Advisor to HR and Consumer Relationship Team Leads (Former Employee) - Newcastle upon Tyne, ENG - August 24, 2015","Ubisoft UK is great place to work, employees are actively encouraged to be creative, bring new ideas and immerse themselves in their role. The company is strong on employee engagement and staff turnover is generally low. The general feeling is generally 'work hard and play hard' when the pressure is on to meet a deadline then it's all hands on deck and it's a common to work late to get the job done, flexibility is important but when it's quieter, in the summer months especially there's a good emphasis on fun and relaxation and opportunity for the team to relax and unwind together.",1,"Great environment, good investment is employee engagement, discounted games",""
"High energy workplace: energy; variety of challenges; and talented, creative people.","Communications Coordinator (Current Employee) - Toronto, ON - August 20, 2015","Ubisoft Toronto is a place that helps you develop into roles that let you discover your skills and talent. Along the way you are mentored by Toronto's top talent in all disciplines. Everyone will take a moment to talk to you, big studio with a small studio feel. With hard work comes play and the studio culture makes sure we all know, respect and have fun with eachother.",5,Able to be involved in many aspects of the studio,Stressful when a game is about to be published - long hours
Fun and productive,"Manager (Current Employee) - Bucharest - August 3, 2015","It depends very much on the domain of activity you are working on. For a manager, the life depends if he knows to select his team and develop it's members. If you succed to have some autonomy, you can create for you and your team quite a nice working environment. But it depends on the project or department you are working on.",3,"flexible hour, several benefits if you have time to use them","little salary, depending on the team bad management, not a clear carrer path"
"Superb Company, Great & Positive Work Environment","Trainee Game Tester (Former Employee) - Pune, MH - August 3, 2015","Superb Company Great & Positive Work Environment This company provide a lot to learn Co-workers are great Job is secure Only negative point is ""less salary"" for newbies",4,Great & Positive Work Environment,"""less salary"" for newbies"
Nice culture and work environment,"IT Production Manager (Current Employee) - Montréal, QC - July 19, 2015","Even though the salary is not the absolute best, Ubisoft compensate with a fair work/life balance and employee on site benefits (Gym, on site medical clinic, massage, etc). The general ambiance is surprisingly casual for a company that size (~2500 in Montreal)",4,"",""
"Chaotic, fun, disorganized place to work","Associate CRM Manager (Current Employee) - San Francisco, CA - July 13, 2015","Ubisoft has been an interesting place to work. I've been here 3 years on the Marketing team. The people are really awesome and take a lot of pride in their work. It's also structurally very disorganized, extremely political, and so much time is wasted internally debating because not only is it chaotic in SF, you have an entire organization in Europe you have to align every decision with. You'll learn a lot about the games industry and I've seen people thrive here just as well as those without any gaming experience. Good place to grow and move on. The leadership is very poor on people and soft skills but to their credit they are trying to get better at this.",4,"good people who take pride in their work, job security is nice, benefits are good, HR really is trying to consistently better the work atmosphere, exciting products and marketing campaigns","way too reliant on abundance of meetings, management is slow and too top heavy, disorganized structure, extremely political"
Ubisoft is a great place to work at!,"Web Developer (Former Employee) - Pune, Maharashtra - July 7, 2015","Ubisoft has a great working environment. I was a part of the Web Studio team. People working there are friendly, supportive and approachable. Most of the people working there are pretty young. So, there is a youth vibe and there is a lot of creativity going on. On Tuesdays you get chocolate and on Thursdays you get fruits. Every month there's a birthday celebration, which is great.",4,"",""
Excellent work place,"Marketing Artist (Former Employee) - 上海市, C23 - July 2, 2015",Everything is excellent but salary is a little bit under estimate. You will find lots of talent artist in this company. no overtime there.,5,"",""
Fun environment,"Receptionist (Former Employee) - Toronto, ON - June 1, 2015","Very friendly place to work. Employees made my job so enjoy able no matter what is was that I was doing. Anytime I needed any assistance someone was always willing to help. Everyone is very welcoming. The hardest part of my job would be nothing, honestly, the job was very straight forward. The most enjoyable part of the job was being able to see the kind of work everyone does but also being able to help the employees.",5,Positive and fun environment,very early start
good artists but weak leads,"3D Graphic Artist (Former Employee) - Bucharest - May 3, 2015","Unfortunately as big as the company gets the people begin to appear as numbers and not as artists. Thinking for yourself is greatly discouraged and executing orders blindly like a robot is the ideal employee A lot of unqualified people in the management, favoritism and a lot of fixed ideas. Good games culture and graphic background. Bucharest studio still has a long way to go to reach the level of other Ubisoft studios.",2,relatively good contract terms,small salaries and bad management
best time in a gaming life,"Creative Designer and 2D/3D artist (Former Employee) - Mumbai, MH - April 11, 2015",worked in prince of Persia and fry cry its best time in my job life at that time so many thing i learn about a gaming process and working pipe line management,5,-,-
Great work-life balance,"Marketing Manager (Current Employee) - San Francisco, CA - March 28, 2015","Fantastic work-life balance. The culture is very much like a family, both the pros and the cons. Lots to learn depending on the department you work in, everyone is eager to stay innovative!",4,"Free bananas every day, free beverages",Very political
An enjoyable experience - but hard to move up.,"Tool Support Specialist (Former Employee) - Montréal, QC - March 23, 2015","I enjoyed working here, though it was difficult to try and change advancement tracks once you arrived. Communication occured great when someone was nearby, but most of the learning is to be done on your own.",4,flexible hours,may work longer hours
Fun Place to Work,"CAMERA (Current Employee) - Toronto, ON - January 22, 2015",Getting ready to hear from the creative director on what the shoot will be about. Learned how to creatively pick shots and direct actors during takes.,4,"",""
Great work place but very low salary,"Sr. QA Test Engineer/Game Tester (Current Employee) - Pune, MH - December 20, 2014",Its a fun place to work. Can learn many different technologies. Management is not so good. Great co-workers. The hardest part of my job is advancement and low carrier growth. Playing games is the most enjoyable part of the job.,3,Nano bonus,Very low salary with low carrier growth.
Coordinator,"Office coordinator (Former Employee) - Newcastle - November 1, 2014",long hours with a promise of a permanent position and was never going to happen,2,Flexi,Couldn't use Flexi
Great company to start your first job,"Project Manager (Former Employee) - C32 - October 30, 2014",Set up a high standard for a new employee which would help him quickly fit the overall job requirements. Fast-paced working environment.Tight working schedule. Need to work over when deadline is approaching. Employees are generally young.,4,"",""
"Filthy, loud, unbalanced working schedules and responsibilities","Data Manager (Former Employee) - Montréal, QC - September 24, 2014","The company has a great benefits package and treats its employees very well. The problem is everything else below this. The building is old and absolutely filthy, the workload is completely unbalanced from job title to job title, and management is often completely clueless. I really did not enjoy my time at this company, but not because of the company, but the people employed by them, and the conditions of the working environment.",2,"Freedom, great benefits","Filthy, loud, distracting environment"
exelent,"Animator (Former Employee) - Montréal, QC - September 22, 2014","I loved to work there great people, and maybe someday return there to work for them again",5,"",""
Gaming for a salary... on contract.,"Video Game Tester (Former Employee) - Montréal, QC - September 22, 2014","Working for Ubisoft has always been a dream of mine, and I got to be a part of that dream for a short while. We were QA testing games such as Assassin's Creed 1 and Naruto: Rise of a Ninja (an XBox360 exclusive). Though everything was contract work, I would gladly work there again.",4,"",""
Working as a Concept Artist,"Concept Artist (Former Employee) - Montreal, Canada - September 1, 2014","A day with Ubisoft would be like any other in-home Artist jobs, you receive and email and later a conference call. The job details for that particular project are given to you in verbal and written form then you begin your designs. Once the designs and/or job requirements are completed you email/fax your work to your Senior Artist. Once the job has been received they (Leads, artists, graphic designers) will tell you what needs to be fixed, if it's good as it is. The best part of the job is working as a designer for games, magazines and promotional things of the sort. The hardest was getting in touch with your bosses across the world through bad internet connections and time zones. Lack of communication.",5,"Art, games and design",Lack of communication and unstable pay
"Fun, creative and good working environment","Video Game Tester (Former Employee) - Bucharest - August 12, 2014","As a game tester a typical day at work is not typical, in my opinion. You always learn new things and meet new situations. A day at Ubisoft starts in the morning with out team leader presenting the tasks of the day for everyone of us, then running the tasks and test cases, finding the bugs-reporting them to the database. At the end of the day, a daily report should be sent to the lead assistant. Through the day(almost every day), as I said you meet new situations that you have to manage by applying things you learn as a game tester, or you learn them on the spot. The most enjoyable part of the job is that you stay all day and run test, even play games sometimes( I can say) and besides that, you develop creativity, communications and team working skills.",4,"10 minutes break, hourly",expensive lunches
A great experience,"Tool Support specialist (Former Employee) - Québec, QC - August 5, 2014",Its the gaming industry! Job security is fleeting at best but youhave to love the poeple you work with and the work.,5,Tons of benefits and great poeple to work with,Extreme long hours
Bad Place to work,"Game Tester (Former Employee) - Pune - July 28, 2014","No skill development programs for employees, No respect for hard work, no hope for future promotions, low salaries, Discrimination with employees from outer states from locals on higher position",1,Nothing,"Low Salary, Evil HR policies, High Expectation"
amazing experience,"senior art director (Former Employee) - Bucuresti, IF - July 10, 2014",to work for a great company and to be involved in a great AAA videogames production was a really an amazing experience,5,"",""
The Best of all Times to Start your career,"Game Tester (Former Employee) - Pune India - May 29, 2014",I started my career as a game tester in this company and this fetched me lot of Knowledge and i decided i would choose this path though i was not a Software technical guy. But Joining here i got the hang of Technical aspects. The Best Experience of my career.,4,"",""
Great learning experience,"Web Producer (Former Employee) - San Francisco, CA - April 2, 2014","I was lucky enough to work on innovative and challenging campaigns ranging from a virtual world for kids, Flash games, Facebook campaigns and YouTube influencers videos.",4,"Innovation, Videogame industry",""
Good work environment development potential,"Senior UI Artist (Former Employee) - Toronto, ON - March 21, 2014","1) Bright and comfortable working environment. 2) Professional and reasonable management mode brings high efficient work. 3) Challenging and creative work, improve and develop our potential constantly. 4) Everyone working at Ubisoft enjoy his/her job.",5,"",""
Awesome Atmosphere,"Trainee Game Tester (Current Employee) - Pune - March 11, 2014",Very good working experience Less Salary Best Work Environment,3,Work Environment,Salary
Very good place to work with new technilogy and learn from best resources in each speciality.,"System Administrator (Former Employee) - Montreal, QC - March 1, 2014","One day At work would be: - Work on support ticket higher level. - React on Monitoring alerts that as important and troubleshoot /fix. - Write some documentation about new procedure or script for automation or system management and delegation to lower levels. - Have some meeting with client to see their needs and propose solutions. - plan some future maintenances. - Analyse the domain and put in place some ways to see if everybody is doing things the way it has been decided (AD, GPO, ACL, Users etc...) What I have learner: I have learned so many things I would list them in multiple pages but lately let's say: Chef orchestrator usage for windows and powershell advanced usage to automate each task for sys admin. - Management is good and soft at UBisoft, you deliver you are good to go, They are a lot of manager to handle lot'S of custormer facing request and projects. Gaming company there is a constant preassure and changes in systems and needs occurs often so we must adapt and react quickly, I like that. - My co-workers are very good to work with and experimented in each techno, we can share things about our specialities, challenge each others for new needs and setup and also we can put rules in place for all new sys admin MS in the team, (we are managing the world's server parc and it's about 1200+ servers) - The hardest part of the work I would says because I like it is to stop working after office hours.Sometime I think about issue or behavior and I log VPN to work on it. - The most enjoyable part of the job is having put something automated that takes usually - more...",4,"working time, modern, health care, young, no micromanagement, budget on techno, location",Na
Playtester,"Freelance Video Game Play Tester (Former Employee) - montreal - February 28, 2014",Great experience overall Everyone was very friendly Everyone was also very hardworking and I felt as if I was part of the team there even if I was just there to play and judge the games.,5,None,""
Fun workplace,"Senior Game Tester (Current Employee) - Pune - January 22, 2014",A really professional company with very ambitious projects.,3,"",""
