title,author_info,rating,pros,cons,helpful
Pack of autonomy,"Mar 26, 2022 - Anonymous Employee in Montreal, QC",1,Go there if you like to be micro managed,Don't Go there if you don't like to be micro managed day to day,Be the first to find this review helpful
Great place to work,"Feb 16, 2022 - Anonymous Employee in Manila, Manila",5,Management takes care of the employees,Need to improve their rates,Be the first to find this review helpful
Good Environment,"Feb 17, 2022 - Game Tester",4,"Good Environment, knowledge and people",Internal politics as well as Poor Management,Be the first to find this review helpful
Ubisoft,"Mar 2, 2022 - Staff in Tokyo",3,Lots of nice people to work with. Diverse environment. Owns famous AAA games.,"Everything being centralized recently, and no authority is given to the local.",Be the first to find this review helpful
Ubi a place to be?,"Mar 3, 2022 - VFX Artist",3,"Great teams , nice studio , cool projects to work on.",Ubisoft HR rigidity in evolution probably due to a big structure.,Be the first to find this review helpful
Project status,"Mar 3, 2022 - Level Artist in Mumbai",3,"-If your project is co-dev, you get to work with pros from the industry from all across the globe. -Great platform to start your career. -Good work culture, compared to other studios in India.","-PAY below standard. -Projects with deadlines are postponed by a year. -Lack of skill development due to the nature of office work (LOD creation, optimization); having to rely completely on personal projects. In your free time,",Be the first to find this review helpful
So far so good,"Nov 4, 2021 - Game Designer",5,Good working environment Good working hours Interesting projects Provides ability to learn,"Pay is just ok, has some cool benefits to balance it out",Be the first to find this review helpful
Great work life balance / low pay,"Nov 18, 2021 - Senior Modeler in Toronto, ON",3,Great team and place to work,Low pay compared to other studios,Be the first to find this review helpful
pretty great for long term,"Nov 3, 2021 - Anonymous Employee",4,"long term company if you want it to be - start as a QA tester and become a programmer/designer/etc :) great environment, on-site gym, masseuse, periodic team buildings and a lot more","working overtime is never fun, but at least the studio i worked in payed really well :)",Be the first to find this review helpful
Big machine with lots of opportunities,"Nov 3, 2021 - 3D Programming Team Lead in Montreal, QC",4,Chapion at work life balance,There's a lack of transparency on multiple topics,Be the first to find this review helpful
Good place to start,"Nov 14, 2021 - Project Manager in Kiev, Kiev",3,AAA games Good office Friendly people Easy entry,Low salary Top management Pure planning No future,Be the first to find this review helpful
Friendly atmosphere,"Oct 29, 2021 - Technical Artist in Toronto, ON",5,"I was a bit wary with all the internet buzz around allegations in misconduct and harassment, but everyone I met here were really friendly welcoming and helpful professionals.",Salary could be a bit higher for Toronto,Be the first to find this review helpful
good company,"Oct 29, 2021 - Senior Environment Artist in Pune",5,"good community, friendly work culture.",salaries are very less but get really good opportunities.,Be the first to find this review helpful
Good working environment,"Nov 11, 2021 - Junior Game Tester in Pune",3,"good team, good environment, depends on project","salary structure could be more better,no worklife balance",Be the first to find this review helpful
Good,"Oct 27, 2021 - Storage Administrator in Shanghai, Shanghai",5,Free and friendly working environment,Meetings a bit more than before,Be the first to find this review helpful
A good company,"Oct 28, 2021 - Anonymous Employee",5,Growing Takes good care of employees Fun,Company Policies to be improved,Be the first to find this review helpful
Good place to learn,"Oct 28, 2021 - Concept Artist",5,Lot of other employees to exchange knowledge with,Management structure seems a bit overwhelming.,Be the first to find this review helpful
Review,"Oct 27, 2021 - Junior Game Tester in Pune",4,Nice company to start as a fresher and company has very friendly environment,Getting increment is bit difficult in the company,Be the first to find this review helpful
average experience,"Nov 10, 2021 - C%2B%2B Programmer in Belgrade, Central Serbia",3,- good for beginners - friendly people - access to ubisoft codebase,- salary not competitive - boring projects,Be the first to find this review helpful
Job as a Senior at Ubisoft,"Nov 10, 2021 - Senior Game Tester in Bucharest, Bucuresti",3,Working at Ubisoft. Fun company,"Salary under the market. You have to deal with your team lead. 40% of them are ok, the rest are desilusional",Be the first to find this review helpful
Good work-life balance,"Oct 26, 2021 - Logistics Coordinator",5,- Very good work-life balance (homeworking whenever you want) - Good working tools - Good geographical location (Saint Mandé),- Our missions depend on the projects (there can be a lot of projects like none at all),Be the first to find this review helpful
Decent place to work at,"Oct 26, 2021 - Development Tester in Montreal, QC",4,- Lot of autonomy to organize my workload to my liking - Schedule is pretty flexible - Had decent pay raises and bonuses so far - Many different trainings are available,"- High management can be rigid, but low management is usually alright - A lot of people work there and it can feel overwhelming at time - Work relies a lot on external studios, making forces some weird schedules at time to be able to sync with them",Be the first to find this review helpful
Positive,"Oct 25, 2021 - Junior Game Tester in Pune",4,"1. Cordial environment 2. Positive Work Ethics 3, High Standards 4. Work Life Balance 5. Good opportunity for game enthusiasts",Even 1 year experienced software engineers have to start from freshers' level.,Be the first to find this review helpful
Good company,"Oct 25, 2021 - Human Resources Business Partner HRBP in Montreal, QC",4,Good company with great benefits,Low salaries regarding the market,Be the first to find this review helpful
Family First,"Oct 23, 2021 - Technical Director in Montreal, QC",5,"Despite current headlines, Ubisoft Montreal is excellent for professionals with families who want to have a good work/life balance without judgment.",Salaries are not as high as local competitors,Be the first to find this review helpful
Good Company but low salart,"Nov 6, 2021 - Game Tester",3,"Work environment, Work culture, Stress free","Low Salaray, Bad HR system",Be the first to find this review helpful
Good experience,"Oct 21, 2021 - Compliance Specialist in Bucharest, Bucuresti",4,"Learned a lot, was able to learn from multiple areas (legal, QA, marketing, business, production).","Sometimes overwhelmed as the job expects to take care of multiple projects at the same time, some AAA and if the milestones sync the job will be hard.",Be the first to find this review helpful
Ubi,"Oct 21, 2021 - QC Lead in Pune",4,"Work Life Balance, Job Security and Management Support and Work Culture",Lower pay scale than market standards,Be the first to find this review helpful
"Find a good team, avoid internal stakeholders","Oct 21, 2021 - Software Engineer in Montreal, QC",4,Internal team cohesion is good.,Communication with external teams can be slow. Many stakeholders can pull your team in too many directions.,Be the first to find this review helpful
"Great devs, not so great infrastructure","Oct 18, 2021 - Game Designer in Toronto, ON",4,- Coworkers are talented and friendly - Great office vibe,- Design is not important relative to other disciplines - No sense of accountability - Poor compensation relative to other companies,1 person found this review helpful
Ubisoft,"Oct 20, 2021 - UX Designer in Bordeaux, Nouvelle-Aquitaine",4,"Very good environment, a lot of advantages",Low salaries for some jobs,Be the first to find this review helpful
Super atmosphere,"Oct 19, 2021 - Human Resources Business Partner HRBP in Chengdu, Sichuan",5,Ubisoft Chengdu is a young company with an average age of 28-30. It is really a good place to learn and to practice.,slow promotion compared to other tech companies.,Be the first to find this review helpful
Big tech company,"Nov 2, 2021 - Technician in Montreal, QC",3,"Great will to change and evolve in the modern market innovative trying to be diverse median salary following the ""market"" Normal advantage for health","High Profile and could be affecting long term application Still has trouble to identify own internal flaws push ""parties"" and laid-back attitude way too much for what it really is",Be the first to find this review helpful
Environment is pretty good,"Oct 18, 2021 - Junior Game Tester in Pune",5,All team members will support you,They are giving very less salary,Be the first to find this review helpful
Ubisoft MTL,"Nov 1, 2021 - Outsourcing Project Manager in Montreal, QC",3,Job security Good brands Learning oportunity Bottoms up Open to changes,"Reactive Changes are very slow Your ""faith"" depends on the brand/game you work on or department, things can be easier depending on where you are.",Be the first to find this review helpful
"Very relax workplace, very low compensation","Nov 1, 2021 - Programmer in Montreal, QC",3,"The company culture is very layed back, and people in general are very friendly. It's not as cutthroat as some other large Montreal studios. There's good internal mobility and it's usually quite easy to work on something new if you want some change. Everyone gets a good amount of vacation.","Compensation is very low compared to competitors. For some roles it can be 30-40% less than at similar places. Sometimes you have to deal with a lot of internal politics, and efforts and ressources are not always directed towards the most productive issues, and instead used for ego projects and duplicating efforts.",Be the first to find this review helpful
good,"Oct 15, 2021 - Associate Producer in Montreal, QC",5,its a fun workplace good bonus,its underpaid compared to the industry,Be the first to find this review helpful
Good place to work,"Oct 14, 2021 - Anonymous Employee in Montreal, QC",4,- Making video games - Many employee perks/ events - Clear career path options and possibility to switch - Striving for diversity and openess,- Lower salaries than other employers in the same industry,Be the first to find this review helpful
Great challenges with talented team,"Oct 12, 2021 - Web Developer",5,"- Challenging projects - Opportunity to grow - Up-to-date tech stack - Accessible management - Stable employment (almost no one gets let go, even if a project with hundreds of employees fails or is completed)","- Bonus lottery (if you end up on a failing project, all your hard work will go to waste when comes bonus time)",Be the first to find this review helpful
Best Job Ever,"Oct 13, 2021 - Senior Talent Acquisition Specialist",5,- Company is always encouraging you to put you and your family first. - So much flexibility and freedom to work in a way that suits you. - No micromanagement - Not managed through KPI's but through your outcomes. - Awesome team of people to work with who are always there to support you. - Amazing benefits and competitive salary - Studios are really well cool places to be when you're not working from home. - Tons of social events and activities to join in with. - The business is always looking at ways to improve and listen to the team.,- Nothing that I see as a negative.,Be the first to find this review helpful
Great palce to work and learn!,"Oct 12, 2021 - Anonymous Employee in Pune",5,Awesome creative people and fun with learning!,"salaries are low compared to industry standards, rest everything is awesome. :)",Be the first to find this review helpful
Nice,"Oct 12, 2021 - Software Tester",5,Wonderful at them i liked a lot,No cons for them yes,Be the first to find this review helpful
Great,"Oct 12, 2021 - Software Developer in Bucharest, Bucuresti",4,It is a great culture and a good vibe,Old technologies and too many mitings,Be the first to find this review helpful
Good company for start,"Oct 26, 2021 - Lead Gameplay Programmer",3,Good company culture and established working processes.,"Low salary, impossible to have a raise without counter-offer. Projects are mostly boring.",Be the first to find this review helpful
"Better company, less pay","Oct 6, 2021 - Senior Technical Artist in Toronto, ON",4,"Great place to work. Everyone from the studio GM on down is very accessible and part of the team. There is a lot of flexibility in making things work, and a real commitment to work/life balance",You can make more money somewhere else.,2 people found this review helpful
Work life balance is good,"Oct 11, 2021 - Concept Artist",4,Have room to Improve on personal skills and goals and have a good work/life balance,It gets Stagnate in project opportunities,Be the first to find this review helpful
Very good working enviroment,"Oct 11, 2021 - Junior Data Analyst",4,- friendly enviroment - great benefits,- below market's average salaries,Be the first to find this review helpful
Great Company,"Oct 10, 2021 - Anonymous Employee",4,Great teams and games !,Sometimes decisions on games are taken by the top management,Be the first to find this review helpful
Good place to network,"Oct 10, 2021 - UI Artist in Montreal, QC",4,"Get to know and work with a variety of people Lots of on-site perks There is crunch, but most of the time it is pretty relaxed","Low base salary French privilege Not much opportunity for innovation Too many middle management, upon whom you depend for your career growth",Be the first to find this review helpful
Everyone is leaving,"Nov 14, 2021 - Developer in Malmö, Skåne",1,Get some AAA titles as experience and leave asap,-Low pay - High turnover - No growth opportunities - Organization continues to disregard employees concerns - Toxic culture,Be the first to find this review helpful
good experience,"Oct 21, 2021 - Technical Support Analyst in Montreal, QC",3,it is a very organised company,It is a loads of work at ubisoft,Be the first to find this review helpful
Friendly,"Oct 6, 2021 - Senior Game Tester",4,Great opurtunity to develop your testing skills,The salary it aint that much for a game tester,Be the first to find this review helpful
Working at Ubisoft,"Oct 21, 2021 - Video Game Tester in Bucharest, Bucuresti",2,Very good work-life balance Good teammates,Hard to advance in different areas,Be the first to find this review helpful
stable job but tough to go up,"Oct 10, 2021 - Computer Programers in Singapore",3,great benefits unlikely to move up,some projects are in development hell,5 people found this review helpful
"Don't expect salary, rest everything is super great","Oct 19, 2021 - Game Tester in Pune",3,Very good work environment with lots of fun and work with loaded benefits,Good salary is a myth,Be the first to find this review helpful
A great workplace,"Oct 4, 2021 - Compliance Team Lead in Bucharest, Bucuresti",5,- teamwork - friendly environment - inclusive - benefits - career development,- salary - quality of games - power of decision,Be the first to find this review helpful
Fun but pay less,"Oct 12, 2021 - Texture Artist in Montreal, QC",3,-Fun project -good team -lots of activities,- Less pay - Stress - no WFH availlable full time,Be the first to find this review helpful
Good environment,"Sep 27, 2021 - Trainee Game Tester in Pune",4,"Good environment, good people to work with",nothing that i can think of,Be the first to find this review helpful
Good,"Sep 24, 2021 - Anonymous Employee",4,Good work condition and projetd with big visibility,"Poor salaries, lack of variety and innovation in the projects",Be the first to find this review helpful
HR doesn't take sexual-harrsement seriously,"Oct 7, 2021 - IT Department in Shanghai, Shanghai",2,there are talented people in there,"HR doesn't take sexual harassment cases seriously, no outcome even when I submit a complaint. not a safe place for women to work.",Be the first to find this review helpful
Good company,"Sep 22, 2021 - Software Engineer in Bangalore",4,"Good company, good people good environment",No cons in my opinioin,Be the first to find this review helpful
good company,"Sep 23, 2021 - Anonymous Employee",4,good talents and people around me,poor environment and tight budget,Be the first to find this review helpful
Best employer in Kiev,"Sep 22, 2021 - Hard Surface Artist in Kiev, Kiev",5,"Very comfort. Good menagement, good leads","None, very happy to work here",Be the first to find this review helpful
"Good, stable game-dev company","Sep 22, 2021 - Junior Development Tester in Kiev, Kiev",4,"Good job conditions, friendly environment, diversity of projects, international collaboration.",Sometimes 'Pipeline' is too long.,Be the first to find this review helpful
So - so,"Oct 6, 2021 - Render Programmer in Belgrade, Central Serbia",3,"Good conditions, interesting job (if you get to work on that part), secure job, nice work-life balance","Uncertainty, bad communication from management, low wages",Be the first to find this review helpful
Good Company,"Oct 6, 2021 - Game Tester in Pune",3,Best office Good People Taking Fun very seriously Unlimited Free Games After office hours we can play any video game in the office,Less Salary. No Automation growth. Repetitive work. Less learning opportunity.,Be the first to find this review helpful
"Nice company, colleagues and projects!","Sep 21, 2021 - Game Developer in Abu Dhabi, Abu Dhabi",5,"Nice culture within the studio, everyone is working towards the same goals. Senior Leadership is supportive with good ambitions for successful games. Co-workers are helpful, friendly and cool expat environment (no egos). You get to work on nice projects.","Prior there where constant upgrades to the office (it's pretty nice), but recently that has tailed off...although the office is moving to a new location soon, so that could be the reason why?! It has been more difficult in recent times to interact with colleagues in different teams/projects, mainly because of Covid/social distancing, but in recent months studio activities seem to have ramped up and hope for this to continue",Be the first to find this review helpful
Allows for progress within the company,"Sep 20, 2021 - Technical Artist in Montreal, QC",4,"Very little crunch Competitive social advantages Relaxed environment, well-situated","Slow reaction to management issues If your superior doesn't push for advancement, stalling with low salary increase is commonplace",Be the first to find this review helpful
Avoid,"Oct 4, 2021 - Software Engineer in Montreal, QC",2,Any of the pros unfortunately get overshadowed by the heavy cons.,"Disconnected and uncaring management Low pay compared to others in the industry Toxic work environment Office politics, especially with regards to Anvil Pipeline Endless (and unpaid) overtime to ship a game",1 person found this review helpful
Everything is great,"Sep 20, 2021 - Programmer in Kiev, Kiev",4,Good work-life balance. Enough time for yourself,Low salary and this problem is not resolving for many years,Be the first to find this review helpful
Best Summer Holyday Job,"Sep 20, 2021 - QC Tester in Bucharest, Bucuresti",4,Best work environment I could ever get for the first job.,Underwhelming salary. Sometimes people just don do their job.,Be the first to find this review helpful
Very bad place to work,"Oct 24, 2021 - Developer in Malmö, Skåne",1,Only positive is I got a foot in the industry,Low pay Toxic managers High turnover (everyone is leaving) It's a horrible place to work and their culture of institutional harassment is very real and very bad.,Be the first to find this review helpful
Not bad at all,"Sep 30, 2021 - Concept Artist in Montreal, QC",3,Nice people. No extra hours. Family friendly.,"Too many managers, makes the teams inefficient.",Be the first to find this review helpful
Great place to work at,"Sep 12, 2021 - Programmer in Singapore",4,Team culture is great and clear career progression,Game dev is generally hard and you will need unlimited passion to burn,1 person found this review helpful
Nice Gaming company,"Sep 15, 2021 - Junior Game Tester in Pune",5,1. Friendly environment 2. Open to discussion mindset,None that I can think of,Be the first to find this review helpful
OK BUT,"Sep 29, 2021 - Artist in Manila, Manila",3,AAA Experience in game development,salary is not competitive enough to support you,Be the first to find this review helpful
Awesome,"Sep 14, 2021 - Generalist Programmer in Winnipeg, MB",5,Great team Can work remote Interesting technical work,Large company can have bureaucracy,Be the first to find this review helpful
Don’t join,"Sep 29, 2021 - Junior Account Support Representative in Pune",2,Nothing at all in my opinion.,"No Time management, no appreciation, no recognition, favouritism and a lot more.",Be the first to find this review helpful
good place,"Sep 14, 2021 - Technical Animator",4,pretty chill place with plenty work life balance,"room for growth is less, fierce competition",Be the first to find this review helpful
"Great work environment, good projects and good company","Sep 13, 2021 - Marketing Artist in Barcelona",4,Discount in Ubisoft Games 24 days Annual leave Full private medical insurance Restaurant ticket each month Merch Partys and celebrations Disccount on Gym and Physio Good balance on amount of work,"Work from home policy allows to work 3 days from home. Separation between teams, sometimes socialize with the whole studio is complicated. Big company",Be the first to find this review helpful
To be avoided,"Sep 15, 2021 - Anonymous Employee in Singapore",2,Pretty good work life balance if your manager is great.,Poor top management which is not facing the reality and is not supported by a HR department which does not understand how to keep people. Overall people on the floor are great and talented but poor management practises and people ruin everything.,8 people found this review helpful
Good place to work at,"Sep 11, 2021 - Corporate Communications in Pune",5,Open environment and helpful people,No come as such but the pay rate could be better,Be the first to find this review helpful
Good Company,"Sep 10, 2021 - Senior Software Engineer in Quebec, QC",5,Young and agile environment. Good growth,Lower than market salary ranges,Be the first to find this review helpful
Good place to quickly learn but pay is low,"Sep 20, 2021 - Game Designer in Paris",3,Ubisoft puts in place a large numbers of perks and solutions to help its employees grow Possibility of working on Big IP Working with passionate and talented people,"Low pay compared to the amount of work HQ always comes first Hierarchy is over bearing, they need to control everything but it can vary with the team and project The company culture has a hard time adapting to the new challenges",2 people found this review helpful
Medium,"Sep 23, 2021 - Anonymous Employee",3,Its well known on cv,Too much office politics and low salary,Be the first to find this review helpful
Salary should be more,"Sep 7, 2021 - Associate in Pune",4,Work environment is very good and friendly. All members are very helpful.,salary should be more for the employees.,1 person found this review helpful
I would rather eat glass than work here again,"Oct 15, 2021 - Level Designer in Toronto, ON",1,Some of your coworkers are great,An absolutely morally bankrupt company,Be the first to find this review helpful
As a Level Designer in Ubisoft Belgrade,"Sep 9, 2021 - Level Designer in Belgrade, Central Serbia",4,"Working with very passionate and outgoing people makes the work a lot more fun. Dedication and determination is what defines the developers in this studio, a real definition of a Team!",Lack of upper management transparency and engagement with the studio teams.,Be the first to find this review helpful
Good food...,"Sep 22, 2021 - QA Engineer in Pune",3,All good.. food is very good,No cons as of now,Be the first to find this review helpful
Good work life balance but less pay,"Sep 5, 2021 - Junior Game Tester in Pune",4,Work life balance You can enjoy many video games for free,Poor salary. Less than any BPO.,Be the first to find this review helpful
Stable but uninteresting,"Oct 10, 2021 - Technical Director Designer",1,- Job security - Lots of experienced peopel to learn from,"- Stuck in their ways - Low salary, only really given opportunities when threatening to leave - Projects are designed top-down, most people don't have any influence on the project and are just told what to do - Leads do not represent their team upwards, you're left fending for yourself - Relies a lot on people doing OT on a regular basis, but will not reward them - Very slow at decisionmaking",Be the first to find this review helpful
Great company,"Sep 4, 2021 - Programmer in London, England",5,Good pay and so ye,Long hours and so ye,Be the first to find this review helpful
Great place to work,"Sep 3, 2021 - IT Developer in Montreal, QC",5,"Nice people, great work life balance, good recognition",The pros I listed vary from team to team,Be the first to find this review helpful
QA,"Sep 3, 2021 - Anonymous Employee",4,"Communication, tools and technologies, attitude.",Salaries definitely could be higher.,Be the first to find this review helpful
Good conditions,"Sep 3, 2021 - Junior 3D Artist in Montreal, QC",4,"Great conditions, overall great people too","Boring project, editorial shuts down creativity and innovation Can't stomach to take risks",Be the first to find this review helpful
Nothing Special,"Sep 16, 2021 - Game Tester in Pune",3,Most of the people you get to work with are really loveable but 'most' not all,Management seems to live in another dimension since they don't even know what kind of woes employees are facing.,Be the first to find this review helpful
Not a really good employer,"Sep 16, 2021 - Anonymous Employee",2,"If you don’t want to grow up, it is a good place for this, relaxed and allowed","It is not possible cu learn and grow up..some senior developers wants to write code only how they know to do it..otherwise you ned to explain them line by line the code. And regarding the management, really really bad. they do not take into account employee complaints, and newer employees leave because of those who have been working for many years.",Be the first to find this review helpful
Later,"Sep 1, 2021 - Project Manager in Montreal, QC",4,- Incredibly flexible - Can learn different disciplines - Welfare programs and advantages,- Frat boy culture - Crunch culture - Dysfunctional HR department,Be the first to find this review helpful
Game tester,"Aug 30, 2021 - Junior Game Tester in Pune",4,"Free breakfast,lunch and snacks Free games which are Ubisoft title for lifetime People are really helpfull",Do not provide transportation Salary hike is very low Growth wise not good 15k salary is very low by company standards,Be the first to find this review helpful
Great Company to work,"Aug 31, 2021 - Senior IT Manager",4,"Good Horizontal growth, A lot of IT projects round the clock Seen Studio growing from 400 Employees till 1500+ Full support from Studio MD Invested a lot in Automation and succeeded. Great Colleagues both Onsite and Offsite (across the globe)",Low salary as compared to IT market Less/No External Technical training,Be the first to find this review helpful
good,"Sep 14, 2021 - Senior Game Tester in Pune",3,Good environment Good people nice projects,Management could be better should give better hikes,Be the first to find this review helpful
Living the game dev life!,"Aug 30, 2021 - Product Manager in Toronto, ON",5,"Exciting work environment, great learning opportunities, no crunch policy",Hard to move within the organization,Be the first to find this review helpful
"Relaxed, nice environment, but gets boring after a while","Sep 7, 2021 - Anonymous Employee in Barcelona",3,"- Nice bonus if you're 1. Dev 2. in the correct project. There's also a company bonus. - People are really nice, young and want to do great stuff. You'll probably make friends here. - Flexible hours (core hours for meetings!), not very stressful. This would be the perfect place for someone who wants to settle down. - Remote work up to 60%, some really extraordinary cases get 100%. They pay for internet and electricity bills if you do any remote. - There are a bunch of benefits that are interesting (medical insurance + dental discount, sports discount, Ticket Restaurant, etc), but could be better. - Projects are interesting.","- Low salaries comparing to Barcelona standards, but comparing with the rest of Spain (Madrid, Sevilla, etc) are okay. - Salary reviews aren't generous and have nothing to do with your performance. Probably after a few years you will get stuck with a similar salary to the one you accepted in the initial offer. - Not many learning opportunities (no courses, workshops, master classes, languages, etcetera) - If you're an ambitious individual, forget about climbing the corporate ladder if you aren't French (or French Canadian, tops). If you're really lucky you could get to be lead, but it is very probable that you will get to be a senior after 3 years and that's it (exactly 3, as performance doesn't really count in promotions, only time) - For now, it's only co-dev. And co-dev studios are treated like second class employees, sadly. - Lots of meetings, bureaucracy, corporative talks... The downtimes just get obnoxious. - Lousy merchandise quality... some of us would rather have less amount but better crafted. - I'm not going to talk about the abuses, shitty corporative culture too much but they are NOT doing anything about it, definitely.",3 people found this review helpful
Good,"Aug 28, 2021 - Computer Programers in London, ON",5,"It is a good place to work, very helpful people.","It is far from city, hard to reach.",Be the first to find this review helpful
Best Company,"Aug 27, 2021 - Software QA Tester in Pune",5,"Balance Work life Everybody is so nice and very much helpful to you In the pandemic company was very supportive to the employee there was no salary cut or anything. Your manager always motivate you and support you and the main thing even though you are a new joiner everybody listen to your ideas, suggestion very carefully and act on it , there is so much good thing in the company i cant write in here due to word limitations But you want to start carrier the best company",I didn't face any except the salary but its not that much bad,Be the first to find this review helpful
Family friendly,"Aug 26, 2021 - Level Designer in Montreal, QC",5,Unlimited sick days as long as there is no abuse. Flexible hours. Good ambiance. Many organised activities within the teams for team building.,Salary could be better. Bad press lately.,Be the first to find this review helpful
Getting Better,"Aug 16, 2021 - Digital Artist in Singapore",4,Interesting work and Free games,Management has a lot to improve on which they are working now,3 people found this review helpful
Cool env,"Sep 8, 2021 - Junior Game Tester in Mumbai",3,Cool environment to work in,Very less pay and increment,Be the first to find this review helpful
Loved the job,"Aug 24, 2021 - Analytics Manager",5,Everyone is passionate about their work,Politics can be time consuming,Be the first to find this review helpful
Okay company,"Sep 7, 2021 - Associate Test Manager in Hyderābād",2,Nothing much to say no pros,Incompetent internal talent management team.,Be the first to find this review helpful
Awesome Place to Start Your Career,"Aug 24, 2021 - Tools Programmer in Montreal, QC",4,- Great environment - Place to grow and learn,- Salary is a bit low,Be the first to find this review helpful
Recommend,"Aug 23, 2021 - Anonymous Employee in Bucharest, Bucuresti",4,Recommended place to start your career,there are no cons for this job place,Be the first to find this review helpful
Dream job,"Aug 22, 2021 - Data Analyst in Dehradun",5,Dream come true in all sense,Crunch periods are very hard,Be the first to find this review helpful
"Nice company, bad management!","Sep 4, 2021 - Cloud Engineer in Montreal, QC",3,Know about their games (if you like them),Bad Management. The career path is not clear.,Be the first to find this review helpful
Clog in the machine,"Sep 5, 2021 - Senior Level Designer in Montreal, QC",3,"Job safety, multi projects, lot of cool people","If you are not a yes man, you won't find happiness. Lack of creativity. Lack of recognition. Too political. Bad people in lead positions.",Be the first to find this review helpful
"Beyond toxic, actually dangerous","Sep 26, 2021 - Developer in Malmö, Skåne",1,+ If you are lucky then you might meet some decent people,- Low pay - Toxic workplace - High turnover - A lot of overtime (poorly managed projects),Be the first to find this review helpful
Great studio to start career or take a breath from busy ones,"Aug 16, 2021 - 3D Artist in Toronto, ON",4,"Huge studio with a lot of benefits. Great on-boarding team, especially if you are applying from abroad, that leads you with all processes and make it as easy as possible for you and your family. The job itself pretty much the job, nothing special. Pretty good life\work balance. Sometime it's even a bit to much because studio can send you home in the middle of the day because there is storm or really bad weather conditions (Toronto's winters are pretty sick). Studio gives you all opportunity to grow and levels your skills. Decent amount of in-studio classes, courses and guests that you can learn from. Studio is growing so fast (bad and good thing)","A lot of management are just not qualified and nobodies know how they got those positions in a first place.(there are enough of pretty good too, so it's balanced and tbh not a big deal breaker) Pretty low salaries compare to city living cost.(at least studio keeping up with rate of inflation so each year you will get small raise to cover it up) Sometimes it looks like studio trying to fill some of the lead positions just because it has to be filled, and it's play bad joke with a team. Studio is growing so fast (bad and good thing)",Be the first to find this review helpful
Fun company,"Aug 16, 2021 - Assistant Art Director in Montreal, QC",4,"The people are really tallented, if you want to work on AAA games in Montreal it's a good place.",Sometimes it's hard to pass ideas because the company is too big.,Be the first to find this review helpful
Good,"Aug 16, 2021 - Junior Game Tester in Pune",4,Good working environment. Good opportunities for future.,Less salary. Slow policies for promotions. Very low appraisals.,Be the first to find this review helpful
Stay away,"Sep 19, 2021 - Developer in Malmö, Skåne",1,There are a few decent people,"I had a horrible time at Ubisoft. I was there for several years. I had 5 different managers and all of them were horrible, and it's almost as if they enjoy setting people up for failure. Also, everyone I know whom worked at Ubisoft has either already left or is in the process of leaving. Ubisoft's future looks grim",1 person found this review helpful
Experience,"Aug 14, 2021 - IT Manager in Belgrade, Central Serbia",4,-good food -free snacks -free fruit -young and good colleagues -good and clean office and environment -nice area with gyms,-heavy workload -overtime -no benefits -toxic bosses -clans -very stressful deadlines -I can't think of any other cons at this moment,Be the first to find this review helpful
Everything is fine except salary,"Aug 14, 2021 - Anonymous Employee in Pune",4,Good People Feel Good Environment Good work-life balance Good Place to Have Experience,"Salary is the only CON, If you are someone Who has zero issues with salary and pays then this is the place for you",Be the first to find this review helpful
Terrible work environment,"Sep 17, 2021 - Senior Character Artist in Montreal, QC",1,"Stable job. If you don´t like working hard, this is the place. Very disorganized and a lot of free time.",The French simply doesn´t like Anglophones. Bad salary. Almost impossible to get a raise. A lot of idle time waiting for tasks because of the lack of organization.,1 person found this review helpful
Average company to work.,"Aug 27, 2021 - Research and Development Engineer in Mumbai",3,"Good work environment, flexible timing, not much of deadline job",Ubisoft India studio has less possibility for growth for Research and Development Engineers as most of the important research and recognition is based out of India.,Be the first to find this review helpful
Great work-life balance,"Aug 12, 2021 - Team Lead in Montreal, QC",5,"Good company culture, great products","Like any other big company, your impact is small",Be the first to find this review helpful
good company,"Aug 11, 2021 - Anonymous Employee",4,good people nice environment fun environment i like it a lot is a good place,the salary is not good unless you are top management,Be the first to find this review helpful
Great for beginners,"Aug 12, 2021 - Junior Software Engineer in Belgrade, Central Serbia",4,"Good working environment, good place to level up","Slow salary growth, small number of senior programmers",Be the first to find this review helpful
Great place!,"Aug 12, 2021 - Anonymous Employee",4,Freedom to create and very collaborative culture.,Diversity and inclusion are making is making good strides but still work to be done.,Be the first to find this review helpful
Good for young developpers.,"Aug 26, 2021 - Senior Software Engineer in Montreal, QC",3,Very dynamic. Lots of opportunities. Good vibe.,Very hard to have a raise.,Be the first to find this review helpful
Good,"Aug 10, 2021 - Anonymous Employee",4,Everything is good about Ubisoft. No cons at all here.,No cons at all here. Everything is good about Ubisoft.,Be the first to find this review helpful
Great company,"Aug 11, 2021 - Anonymous Employee",4,"Inclusive, great team chemistry, always holding events to help educate and share ideas. Great to disabled or when health issues arise.","Your voice can be lost in how big the team is, not sure your ideas or concerns actually are heard. Long hours.",Be the first to find this review helpful
Could be better,"Aug 15, 2021 - Vice President - IT in Singapore",3,Pros Salary is very good,Cons everything else that comes with the job,5 people found this review helpful
Impressions,"Aug 9, 2021 - Game Tester in Bucharest, Bucuresti",5,"You can see the new upcoming gaming projects and have a sneak-peek in them, also you test the latest gaming technology.","The salary it’s a bit low, but it can be raised in time and by the quality and your speed when it comes to your attributes",Be the first to find this review helpful
